player,name,pick,Average,,,
Kris Murray,ESPN,25,21.72727273,,,
Kris Murray,Tankathon,22,21.72727273,,,
Kris Murray,The Box and One,19,21.72727273,,,
Kris Murray,NBA Draft Room,26,21.72727273,,,
Kris Murray,Sports Illustrated,17,21.72727273,,,
Leonard Miller,Average,22,21.8,,,
Leonard Miller,Sam Vecenie,13,21.81818182,,,
Leonard Miller,CBS,21,21.81818182,,,
Leonard Miller,nbadraft.net,24,21.81818182,,,
Leonard Miller,Bleacher Report,30,21.81818182,,,
Leonard Miller,Kevin O'Connor,16,21.81818182,,,
Leonard Miller,ESPN,23,21.81818182,,,
Leonard Miller,Tankathon,20,21.81818182,,,
Leonard Miller,The Box and One,17,21.81818182,,,
Leonard Miller,NBA Draft Room,30,21.81818182,,,
Leonard Miller,Sports Illustrated,24,21.81818182,,,
Jett Howard,Sam Vecenie,27,22,,,
Jett Howard,CBS,32,22,,,
Jett Howard,nbadraft.net,25,22,,,
Jett Howard,Bleacher Report,17,22,,,
Jett Howard,Kevin O'Connor,23,22,,,
Jett Howard,ESPN,17,22,,,
Jett Howard,Tankathon,16,22,,,
Jett Howard,The Box and One,23,22,,,
Jett Howard,NBA Draft Room,21,22,,,
Jett Howard,Sports Illustrated,19,22,,,
Jett Howard,Average,22,22,,,
Rayan Rupert,Sam Vecenie,26,22.36363636,,,
Rayan Rupert,CBS,28,22.36363636,,,
Rayan Rupert,nbadraft.net,14,22.36363636,,,
Rayan Rupert,Bleacher Report,28,22.36363636,,,
Rayan Rupert,Kevin O'Connor,21,22.36363636,,,
Rayan Rupert,ESPN,19,22.36363636,,,
Rayan Rupert,Tankathon,18,22.36363636,,,
Rayan Rupert,The Box and One,33,22.36363636,,,
Rayan Rupert,NBA Draft Room,16,22.36363636,,,
Rayan Rupert,Sports Illustrated,21,22.36363636,,,
Rayan Rupert,Average,22,22.4,,,
Bilal Coulibaly,Average,23,22.5,,,
Bilal Coulibaly,Sam Vecenie,24,22.54545455,,,
Bilal Coulibaly,CBS,24,22.54545455,,,
Bilal Coulibaly,nbadraft.net,22,22.54545455,,,
Bilal Coulibaly,Bleacher Report,19,22.54545455,,,
Bilal Coulibaly,Kevin O'Connor,17,22.54545455,,,
Bilal Coulibaly,ESPN,22,22.54545455,,,
Bilal Coulibaly,Tankathon,24,22.54545455,,,
Bilal Coulibaly,The Box and One,26,22.54545455,,,
Bilal Coulibaly,NBA Draft Room,15,22.54545455,,,
Bilal Coulibaly,Sports Illustrated,32,22.54545455,,,
Dariq Whitehead,Sam Vecenie,21,25,,,
Dariq Whitehead,CBS,29,25,,,
Dariq Whitehead,nbadraft.net,33,25,,,
Dariq Whitehead,Bleacher Report,16,25,,,
Dariq Whitehead,Kevin O'Connor,35,25,,,
Dariq Whitehead,ESPN,26,25,,,
Dariq Whitehead,Tankathon,19,25,,,
Dariq Whitehead,The Box and One,20,25,,,
Dariq Whitehead,NBA Draft Room,35,25,,,
Dariq Whitehead,Sports Illustrated,16,25,,,
Dariq Whitehead,Average,25,25,,,
Noah Clowney,Average,27,26.6,,,
Noah Clowney,Sam Vecenie,30,26.63636364,,,
Noah Clowney,CBS,41,26.63636364,,,
Noah Clowney,nbadraft.net,28,26.63636364,,,
Noah Clowney,Bleacher Report,24,26.63636364,,,
Noah Clowney,Kevin O'Connor,26,26.63636364,,,
Noah Clowney,ESPN,20,26.63636364,,,
Noah Clowney,Tankathon,27,26.63636364,,,
Noah Clowney,The Box and One,31,26.63636364,,,
Noah Clowney,NBA Draft Room,24,26.63636364,,,
Noah Clowney,Sports Illustrated,15,26.63636364,,,
Maxwell Lewis,The Box and One,25,29.72727273,,,
Maxwell Lewis,Sam Vecenie,29,29.72727273,,,
Maxwell Lewis,CBS,56,29.72727273,,,
Maxwell Lewis,nbadraft.net,17,29.72727273,,,
Maxwell Lewis,Bleacher Report,27,29.72727273,,,
Maxwell Lewis,Kevin O'Connor,34,29.72727273,,,
Maxwell Lewis,ESPN,31,29.72727273,,,
Maxwell Lewis,Tankathon,26,29.72727273,,,
