"Smith, Stephen A.",ESPN,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Thibodeau, Tom (NYK)"
"Smith, Steve",WarnerMedia,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Daigneault, Mark (OKC)"
"Sohi, Seerat",The Ringer,"Brown, Mike (SAC)","Thibodeau, Tom (NYK)","Daigneault, Mark (OKC)"
"Termine, Justin",Sirius Radio,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Hardy, Will (UTA)"
"Van Gundy, Stan",WarnerMedia,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Bickerstaff, J.B. (CLE)"
"Vardon, Joe",The Athletic,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Jenkins, Taylor (MEM)"
"Villafranca, David",EFE News,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Mazzulla, Joe (BOS)"
"Washburn, Gary",Boston Globe,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Hardy, Will (UTA)"
"Wilbon, Michael",ESPN,"Brown, Mike (SAC)","Ham, Darvin (LAL)","Mazzulla, Joe (BOS)"
"Windhorst, Brian",ESPN,"Brown, Mike (SAC)","Malone, Michael (DEN)","Budenholzer, Mike (MIL)"
"Winer, Matt",WarnerMedia,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Daigneault, Mark (OKC)"
"Wright, Michael C.",NBA.com,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Mazzulla, Joe (BOS)"
"Youngmisuk, Ohm",ESPN,"Brown, Mike (SAC)","Mazzulla, Joe (BOS)","Malone, Michael (DEN)"
"Zillgitt,  Jeff",USA Today,"Brown, Mike (SAC)","Daigneault, Mark (OKC)","Mazzulla, Joe (BOS)"
