Voter Name,Affiliation,1st Place (10 points),2nd Place (7 points),3rd Place (5 points),4th Place (3 points),5th Place (1 point)
"Hsu, Lisa",Tencent,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Hubbarth, Cassidy",ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Iko, Kelly",The Athletic,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Morant, Ja (MEM)"
"Isola, Frank",Sirius Radio,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Tatum, Jayson (BOS)"
"Jackson, Mark",ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Johnson, Ernie",Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Morant, Ja (MEM)"
"Johnson, K.C.",NBC Sports Chicago,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Kestecher, Marc",ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)"
"Kirschner, Chris",The Athletic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Koreen, Eric",The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Kushner, Scott",New Orleans Times-Pic,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Booker, Devin (PHX)","Tatum, Jayson (BOS)"
"Lowe, Zach",ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)"
"Mahoney, Brian",Associated Press,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Mahoney, Rob",The Ringer,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Mannix, Chris",Sports Illustrated,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)"
"Martinez, Diego",Reforma,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Paul, Chris (PHX)"
"McDonald, Jeff",San Antonio Express-N,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"McMenamin, Dave",ESPN,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Booker, Devin (PHX)","Doncic, Luka (DAL)"
"Medina, Mark",NBA.com,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Morant, Ja (MEM)","Booker, Devin (PHX)"
"Miyaji, Yoko",Sports Graphic Number,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Booker, Devin (PHX)"
"Mussatto, Joe",The Oklahoman,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Tatum, Jayson (BOS)","Doncic, Luka (DAL)"
