"Redick, JJ",ESPN,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Reiter, Bill",CBSSports.com,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Reverchon, Remi",beIN Sports,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Reaves, Austin (LAL)"
"Reynolds, Tim",Associated Press,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Powell, Norman (LAC)"
"Robbins, Josh",The Athletic,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Powell, Norman (LAC)"
"Rohlin, Melissa",Fox Sports,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Rooks, Taylor",Bleacher Report,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Rose, Jalen",ESPN,"Portis, Bobby (MIL)","Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)"
"Russillo, Ryen",The Ringer,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Sankofa, Omari",Detroit Free Press,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Jones, Tyus (MEM)"
"Schuhmann, John",NBA.com,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Scott, Dennis",WarnerMedia,"Brogdon, Malcolm (BOS)","Monk, Malik (SAC)","Quickley, Immanuel (NYK)"
"Shelburne, Ramona",ESPN,"Brogdon, Malcolm (BOS)","Jones, Tyus (MEM)","Quickley, Immanuel (NYK)"
"Simmons, Bill",The Ringer,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Monk, Malik (SAC)"
"Singer, Mike",Denver Post,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Mathurin, Bennedict (IND)"
"Slater, Anthony",The Athletic,"Quickley, Immanuel (NYK)","Reaves, Austin (LAL)","Monk, Malik (SAC)"
"Smith, Doug",The Toronto Star,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Smith, Stephen A.",ESPN,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Powell, Norman (LAC)"
"Smith, Steve",WarnerMedia,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Sohi, Seerat",The Ringer,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Termine, Justin",Sirius Radio,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Quickley, Immanuel (NYK)"
"Van Gundy, Stan",WarnerMedia,"Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)","Mathurin, Bennedict (IND)"
"Vardon, Joe",The Athletic,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Portis, Bobby (MIL)"
"Villafranca, David",EFE News,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Washburn, Gary",Boston Globe,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Monk, Malik (SAC)"
"Wilbon, Michael",ESPN,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Windhorst, Brian",ESPN,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Winer, Matt",WarnerMedia,"Quickley, Immanuel (NYK)","Brogdon, Malcolm (BOS)","Portis, Bobby (MIL)"
"Wright, Michael C.",NBA.com,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Youngmisuk, Ohm",ESPN,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Powell, Norman (LAC)"
"Zillgitt, Jeff",USA Today,"Brogdon, Malcolm (BOS)","Quickley, Immanuel (NYK)","Monk, Malik (SAC)"
