voter_name,affiliation,award,name,value,points,avgPoints,diff,diffSquared,ballot
Zach Harper,The Athletic,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Zach Harper,The Athletic,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Kurt Helin,NBCSports.com,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Kurt Helin,NBCSports.com,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Kurt Helin,NBCSports.com,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
James Herbert,CBSSports.com,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
James Herbert,CBSSports.com,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
James Herbert,CBSSports.com,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Adam Himmelsbach,Boston Globe,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Adam Himmelsbach,Boston Globe,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Adam Himmelsbach,Boston Globe,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Cassidy Hubbarth,ESPN,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Cassidy Hubbarth,ESPN,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Cassidy Hubbarth,ESPN,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Kelly Iko,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Kelly Iko,The Athletic,COY,x2nd_Place_3_points,"Ime Udoka, Houston",3,0.060606061,2.939393939,8.640036731,COY
Kelly Iko,The Athletic,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Frank Isola,Sirius Radio,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Frank Isola,Sirius Radio,COY,x2nd_Place_3_points,"Tom Thibodeau, New York",3,0.595959596,2.404040404,5.779410264,COY
Frank Isola,Sirius Radio,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Richard Jefferson,ESPN,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Richard Jefferson,ESPN,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Richard Jefferson,ESPN,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Ernie Johnson,WarnerMedia,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Ernie Johnson,WarnerMedia,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Ernie Johnson,WarnerMedia,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Tony Jones,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Tony Jones,The Athletic,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Tony Jones,The Athletic,COY,x3rd_Place_1_points,"Rick Carlisle, Indiana",1,0.02020202,0.97979798,0.960004081,COY
Marc Kestecher,ESPN,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Marc Kestecher,ESPN,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Marc Kestecher,ESPN,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Tolis Kotzias,SDNA,COY,x1st_Place_5_points,"Chris Finch, Minnesota",5,1.060606061,3.939393939,15.51882461,COY
Tolis Kotzias,SDNA,COY,x2nd_Place_3_points,"Mark Daigneault, Oklahoma City",3,4.777777778,-1.777777778,3.160493827,COY
Tolis Kotzias,SDNA,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Adam Lefkoe,WarnerMedia,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Adam Lefkoe,WarnerMedia,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Adam Lefkoe,WarnerMedia,COY,x3rd_Place_1_points,"Tom Thibodeau, New York",1,0.595959596,0.404040404,0.163248648,COY
Rob Mahoney,The Ringer,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Rob Mahoney,The Ringer,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Rob Mahoney,The Ringer,COY,x3rd_Place_1_points,"Chris Finch, Minnesota",1,1.060606061,-0.060606061,0.003673095,COY
Chris Mannix,Sports Illustrated,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
